iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt
AUT,Austria,2025,ambitious,0.0387871874635935,0.0,38.7871874635935,,,,
AUT,Austria,2026,ambitious,0.0737096363943279,0.0,34.922448930734404,,,,
AUT,Austria,2027,ambitious,0.105244514563285,0.0,31.5348781689571,,,,
AUT,Austria,2028,ambitious,0.1337857563058536,0.0,28.541241742568598,,,,
AUT,Austria,2029,ambitious,0.1596623569344644,0.0,25.876600628610802,,,,
AUT,Austria,2030,ambitious,0.1831519026480792,0.0,23.489545713614806,,,,
AUT,Austria,2031,ambitious,0.2066414483616939,0.0,23.489545713614696,,,,
AUT,Austria,2032,ambitious,0.2301309940753087,0.0,23.489545713614806,,,,
AUT,Austria,2033,ambitious,0.2536205397889234,0.0,23.489545713614696,,,,
AUT,Austria,2034,ambitious,0.2771100855025382,0.0,23.489545713614778,,,,
AUT,Austria,2035,ambitious,0.3005996312161529,0.0,23.489545713614724,,,,
AUT,Austria,2036,ambitious,0.3240891769297676,0.0,23.489545713614667,,,,
AUT,Austria,2037,ambitious,0.3475787226433824,0.0,23.489545713614834,,,,
AUT,Austria,2038,ambitious,0.3710682683569971,0.0,23.489545713614667,,,,
AUT,Austria,2039,ambitious,0.3945578140706119,0.0,23.489545713614834,,,,
AUT,Austria,2040,ambitious,0.4180473597842266,0.0,23.489545713614667,,,,
AUT,Austria,2041,ambitious,0.4415369054978413,0.0,23.489545713614724,,,,
AUT,Austria,2042,ambitious,0.4650264512114561,0.0,23.489545713614778,,,,
AUT,Austria,2043,ambitious,0.4885159969250708,0.0,23.489545713614724,,,,
AUT,Austria,2044,ambitious,0.5120055426386856,0.0,23.489545713614778,,,,
AUT,Austria,2045,ambitious,0.5354950883523003,0.0,23.489545713614724,,,,
AUT,Austria,2046,ambitious,0.558984634065915,0.0,23.489545713614724,,,,
AUT,Austria,2047,ambitious,0.5824741797795299,0.0,23.489545713614834,,,,
AUT,Austria,2048,ambitious,0.6059637254931446,0.0,23.489545713614724,,,,
AUT,Austria,2049,ambitious,0.6294532712067593,0.0,23.489545713614724,,,,
AUT,Austria,2050,ambitious,0.6529428169203739,0.0,23.48954571361461,,,,
AUT,Austria,2025,baseline,0.0432375520228596,0.0,43.2375520228596,,,,
AUT,Austria,2026,baseline,0.0864751040457193,0.0,43.237552022859695,,,,
AUT,Austria,2027,baseline,0.1297126560685789,0.0,43.2375520228596,,,,
AUT,Austria,2028,baseline,0.1729502080914386,0.0,43.237552022859695,,,,
AUT,Austria,2029,baseline,0.2161877601142982,0.0,43.23755202285959,,,,
AUT,Austria,2030,baseline,0.2594253121371579,0.0,43.237552022859724,,,,
AUT,Austria,2031,baseline,0.3026628641600176,0.0,43.237552022859674,,,,
AUT,Austria,2032,baseline,0.3459004161828772,0.0,43.23755202285962,,,,
AUT,Austria,2033,baseline,0.3891379682057369,0.0,43.237552022859674,,,,
AUT,Austria,2034,baseline,0.4323755202285965,0.0,43.23755202285962,,,,
AUT,Austria,2035,baseline,0.4756130722514562,0.0,43.237552022859724,,,,
AUT,Austria,2036,baseline,0.5188506242743158,0.0,43.23755202285962,,,,
AUT,Austria,2037,baseline,0.5620881762971754,0.0,43.23755202285962,,,,
AUT,Austria,2038,baseline,0.6053257283200352,0.0,43.237552022859724,,,,
AUT,Austria,2039,baseline,0.6485632803428947,0.0,43.237552022859504,,,,
AUT,Austria,2040,baseline,0.6918008323657545,0.0,43.23755202285984,,,,
AUT,Austria,2041,baseline,0.7350383843886141,0.0,43.23755202285962,,,,
AUT,Austria,2042,baseline,0.7782759364114737,0.0,43.23755202285962,,,,
AUT,Austria,2043,baseline,0.8215134884343334,0.0,43.23755202285962,,,,
AUT,Austria,2044,baseline,0.864751040457193,0.0,43.23755202285962,,,,
AUT,Austria,2045,baseline,0.9079885924800528,0.0,43.23755202285984,,,,
AUT,Austria,2046,baseline,0.9512261445029124,0.0,43.23755202285962,,,,
AUT,Austria,2047,baseline,0.994463696525772,0.0,43.23755202285962,,,,
AUT,Austria,2048,baseline,1.0377012485486317,0.0,43.23755202285962,,,,
AUT,Austria,2049,baseline,1.0809388005714913,0.0,43.23755202285962,,,,
AUT,Austria,2050,baseline,1.124176352594351,0.0,43.23755202285962,,,,
AUT,Austria,2025,ndc,0.0432375520228596,0.0,43.2375520228596,,,,
AUT,Austria,2026,ndc,0.0839475360457192,0.0,40.709984022859594,,,,
AUT,Austria,2027,ndc,0.1221299520685789,0.0,38.18241602285971,,,,
AUT,Austria,2028,ndc,0.1577848000914385,0.0,35.65484802285959,,,,
AUT,Austria,2029,ndc,0.1909120801142982,0.0,33.12728002285969,,,,
AUT,Austria,2030,ndc,0.2215117921371579,0.0,30.599712022859716,,,,
