iso_code,country,year,scenario,debt_gt
AUS,Australia,2049,ndc,3.669584051408947
AUS,Australia,2050,ndc,3.6113513814653047
AUT,Austria,2025,ambitious,0.03878718746359352
AUT,Austria,2026,ambitious,0.07370963639432793
AUT,Austria,2027,ambitious,0.105244514563285
AUT,Austria,2028,ambitious,0.13378575630585368
AUT,Austria,2029,ambitious,0.15966235693446446
AUT,Austria,2030,ambitious,0.1831519026480792
AUT,Austria,2031,ambitious,0.20664144836169396
AUT,Austria,2032,ambitious,0.2301309940753087
AUT,Austria,2033,ambitious,0.25362053978892346
AUT,Austria,2034,ambitious,0.2771100855025382
AUT,Austria,2035,ambitious,0.30059963121615296
AUT,Austria,2036,ambitious,0.32408917692976763
AUT,Austria,2037,ambitious,0.3475787226433824
AUT,Austria,2038,ambitious,0.37106826835699713
AUT,Austria,2039,ambitious,0.3945578140706119
AUT,Austria,2040,ambitious,0.41804735978422664
AUT,Austria,2041,ambitious,0.4415369054978413
AUT,Austria,2042,ambitious,0.4650264512114561
AUT,Austria,2043,ambitious,0.4885159969250708
AUT,Austria,2044,ambitious,0.5120055426386856
AUT,Austria,2045,ambitious,0.5354950883523003
AUT,Austria,2046,ambitious,0.558984634065915
AUT,Austria,2047,ambitious,0.5824741797795299
AUT,Austria,2048,ambitious,0.6059637254931446
AUT,Austria,2049,ambitious,0.6294532712067593
AUT,Austria,2050,ambitious,0.6529428169203739
AUT,Austria,2025,baseline,0.04323755202285965
AUT,Austria,2026,baseline,0.0864751040457193
AUT,Austria,2027,baseline,0.12971265606857896
AUT,Austria,2028,baseline,0.1729502080914386
AUT,Austria,2029,baseline,0.21618776011429824
AUT,Austria,2030,baseline,0.2594253121371579
AUT,Austria,2031,baseline,0.3026628641600176
AUT,Austria,2032,baseline,0.34590041618287726
AUT,Austria,2033,baseline,0.38913796820573693
AUT,Austria,2034,baseline,0.4323755202285965
AUT,Austria,2035,baseline,0.4756130722514562
AUT,Austria,2036,baseline,0.5188506242743158
AUT,Austria,2037,baseline,0.5620881762971754
AUT,Austria,2038,baseline,0.6053257283200352
AUT,Austria,2039,baseline,0.6485632803428947
AUT,Austria,2040,baseline,0.6918008323657545
AUT,Austria,2041,baseline,0.7350383843886141
AUT,Austria,2042,baseline,0.7782759364114737
AUT,Austria,2043,baseline,0.8215134884343334
AUT,Austria,2044,baseline,0.864751040457193
AUT,Austria,2045,baseline,0.9079885924800527
AUT,Austria,2046,baseline,0.9512261445029124
AUT,Austria,2047,baseline,0.994463696525772
AUT,Austria,2048,baseline,1.0377012485486317
AUT,Austria,2049,baseline,1.0809388005714913
AUT,Austria,2050,baseline,1.124176352594351
AUT,Austria,2025,ndc,0.04323755202285965
AUT,Austria,2026,ndc,0.08394753604571929
AUT,Austria,2027,ndc,0.12212995206857895
AUT,Austria,2028,ndc,0.15778480009143858
AUT,Austria,2029,ndc,0.19091208011429822
AUT,Austria,2030,ndc,0.2215117921371579
AUT,Austria,2031,ndc,0.2495839361600175
AUT,Austria,2032,ndc,0.27512851218287715
AUT,Austria,2033,ndc,0.2981455202057368
AUT,Austria,2034,ndc,0.3186349602285965
AUT,Austria,2035,ndc,0.3365968322514561
AUT,Austria,2036,ndc,0.35203113627431576
AUT,Austria,2037,ndc,0.36493787229717534
AUT,Austria,2038,ndc,0.3753170403200351
AUT,Austria,2039,ndc,0.3831686403428947
AUT,Austria,2040,ndc,0.3884926723657543
AUT,Austria,2041,ndc,0.39128913638861396
AUT,Austria,2042,ndc,0.3915580324114735
AUT,Austria,2043,ndc,0.3892993604343333
AUT,Austria,2044,ndc,0.3845131204571929
AUT,Austria,2045,ndc,0.37719931248005256
AUT,Austria,2046,ndc,0.3673579365029122
AUT,Austria,2047,ndc,0.35498899252577176
AUT,Austria,2048,ndc,0.3400924805486314
AUT,Austria,2049,ndc,0.3226684005714911
AUT,Austria,2050,ndc,0.3027167525943507
AZE,Azerbaijan,2025,ambitious,0.015866604383425294
AZE,Azerbaijan,2026,ambitious,0.03054409586409402
AZE,Azerbaijan,2027,ambitious,0.04410454189062954
AZE,Azerbaijan,2028,ambitious,0.056613651019132044
AZE,Azerbaijan,2029,ambitious,0.06813149964375242
AZE,Azerbaijan,2030,ambitious,0.0787131577924641
AZE,Azerbaijan,2031,ambitious,0.0892948159411758
AZE,Azerbaijan,2032,ambitious,0.09987647408988748
AZE,Azerbaijan,2033,ambitious,0.11045813223859915
AZE,Azerbaijan,2034,ambitious,0.12103979038731083
AZE,Azerbaijan,2035,ambitious,0.1316214485360225
AZE,Azerbaijan,2036,ambitious,0.14220310668473418
AZE,Azerbaijan,2037,ambitious,0.15278476483344589
AZE,Azerbaijan,2038,ambitious,0.1633664229821576
AZE,Azerbaijan,2039,ambitious,0.17394808113086924
AZE,Azerbaijan,2040,ambitious,0.18452973927958094
AZE,Azerbaijan,2041,ambitious,0.1951113974282926
AZE,Azerbaijan,2042,ambitious,0.2056930555770043
AZE,Azerbaijan,2043,ambitious,0.21627471372571594
AZE,Azerbaijan,2044,ambitious,0.22685637187442764
AZE,Azerbaijan,2045,ambitious,0.2374380300231393
AZE,Azerbaijan,2046,ambitious,0.24801968817185094
AZE,Azerbaijan,2047,ambitious,0.25860134632056264
AZE,Azerbaijan,2048,ambitious,0.26918300446927435
AZE,Azerbaijan,2049,ambitious,0.27976466261798594
AZE,Azerbaijan,2050,ambitious,0.29034632076669775
AZE,Azerbaijan,2025,baseline,0.017134991479664404
AZE,Azerbaijan,2026,baseline,0.03426998295932881
AZE,Azerbaijan,2027,baseline,0.05140497443899322
AZE,Azerbaijan,2028,baseline,0.06853996591865763
AZE,Azerbaijan,2029,baseline,0.08567495739832204
AZE,Azerbaijan,2030,baseline,0.10280994887798645
AZE,Azerbaijan,2031,baseline,0.11994494035765083
AZE,Azerbaijan,2032,baseline,0.13707993183731526
AZE,Azerbaijan,2033,baseline,0.1542149233169797
AZE,Azerbaijan,2034,baseline,0.17134991479664408
AZE,Azerbaijan,2035,baseline,0.18848490627630846
AZE,Azerbaijan,2036,baseline,0.2056198977559729
