iso_code,year,ef_kg_per_kwh
TCD,2018,0.61765
TCD,2019,0.6285700000000001
TCD,2020,0.6285700000000001
TCD,2021,0.62791
TCD,2022,0.61539
CHL,2000,0.38813
CHL,2001,0.33648
CHL,2002,0.33011
CHL,2003,0.35535
CHL,2004,0.39177
CHL,2005,0.34757
CHL,2006,0.35538
CHL,2007,0.45693
CHL,2008,0.45442
CHL,2009,0.43598000000000003
CHL,2010,0.48166000000000003
CHL,2011,0.49307
CHL,2012,0.5314099999999999
CHL,2013,0.55176
CHL,2014,0.49366000000000004
CHL,2015,0.49139
CHL,2016,0.49639
CHL,2017,0.48727
CHL,2018,0.47028
CHL,2019,0.45654
CHL,2020,0.43683
CHL,2021,0.42546
CHL,2022,0.3728
CHL,2023,0.30193000000000003
CHL,2024,0.26552
CHN,2000,0.78331
CHN,2001,0.76274
CHN,2002,0.77316
CHN,2003,0.79079
CHN,2004,0.77836
CHN,2005,0.7819299999999999
CHN,2006,0.78651
CHN,2007,0.78513
CHN,2008,0.74695
CHN,2009,0.75303
CHN,2010,0.74064
CHN,2011,0.7522300000000001
CHN,2012,0.72015
CHN,2013,0.71739
CHN,2014,0.6937300000000001
CHN,2015,0.66772
CHN,2016,0.65167
CHN,2017,0.6441699999999999
CHN,2018,0.63687
CHN,2019,0.61961
CHN,2020,0.60625
CHN,2021,0.599
CHN,2022,0.58675
CHN,2023,0.58358
CHN,2024,0.5575
COL,2000,0.18921000000000002
COL,2001,0.19773
COL,2002,0.1834
COL,2003,0.17208
COL,2004,0.14839
COL,2005,0.15999000000000002
COL,2006,0.15897999999999998
COL,2007,0.15514
COL,2008,0.13753
COL,2009,0.21162999999999998
COL,2010,0.22945
COL,2011,0.15138
COL,2012,0.17904
COL,2013,0.23602
COL,2014,0.23673
COL,2015,0.27536
COL,2016,0.25955
COL,2017,0.16618
COL,2018,0.18744
COL,2019,0.24092
COL,2020,0.27125
COL,2021,0.19583
COL,2022,0.20215
COL,2023,0.26897000000000004
COL,2024,0.2858
COM,2000,0.66667
COM,2001,0.66667
COM,2002,0.66667
COM,2003,0.75
COM,2004,0.75
COM,2005,0.6
COM,2006,0.6
COM,2007,0.6
COM,2008,0.75
COM,2009,0.6
COM,2010,0.66667
COM,2011,0.66667
COM,2012,0.66667
COM,2013,0.66667
COM,2014,0.6
COM,2015,0.6
COM,2016,0.66667
COM,2017,0.66667
COM,2018,0.7
COM,2019,0.63636
COM,2020,0.69231
COM,2021,0.69231
COM,2022,0.64286
COM,2023,0.64286
COD,2000,0.02357
COD,2001,0.02534
COD,2002,0.02475
COD,2003,0.024550000000000002
COD,2004,0.02564
COD,2005,0.02456
COD,2006,0.028
COD,2007,0.03065
COD,2008,0.03196
COD,2009,0.03073
COD,2010,0.03065
COD,2011,0.030690000000000002
COD,2012,0.02868
COD,2013,0.02764
COD,2014,0.02809
COD,2015,0.02886
COD,2016,0.02829
COD,2017,0.02818
COD,2018,0.02988
COD,2019,0.02826
COD,2020,0.02558
COD,2021,0.02604
COD,2022,0.027399999999999997
COD,2023,0.027039999999999998
COG,2000,0.03448
COG,2001,0.0303
COG,2002,0.02564
COG,2003,0.15
COG,2004,0.175
COG,2005,0.18605000000000002
COG,2006,0.17778
COG,2007,0.175
COG,2008,0.19565000000000002
